FACILITY_ID,FACILITY_NAME,CHEM_NAME,CAS_NUM,CHEM_ID,CARCINOGEN,CLEAN_AIR,LIST_3350,STREET_ADDRESS,CITY_NAME,COUNTY_NAME,STATE_ABBR,GENERIC_CHEM_NAME,CAS_CHEM_NAME,INDUSTRY_CODE
62205KZCTN2904M,NUPLEX RESINS LLC,4 4'-ISOPROPYLIDENEDIPHENOL,     80-05-7,80057,N,N,N,2904 MISSOURI AVE,EAST SAINT LOUIS,ST CLAIR,IL,NA,4 4'-ISOPROPYLIDENEDIPHENOL,325
60174MSNTRPOWIS,MASONITE TECHNICAL CENTER,NICKEL,   7440-02-0,7440020,Y,Y,Y,1955 POWIS RD,WEST CHICAGO,DUPAGE,IL,NA,NICKEL,321
60067HBFLL315SO,SPECIALTY CONSTRUCTION BRANDS INC,1 1 1-TRICHLOROETHANE,     71-55-6,71556,N,Y,Y,315 S HICKS RD,PALATINE,COOK,IL,NA,1 1 1-TRICHLOROETHANE,325
62040PRCTM25NOR,PRECOAT METALS,CERTAIN GLYCOL ETHERS,N230,N230,N,Y,N,25 NORTHGATE IND US TRIAL DR,GRANITE CITY,MADISON,IL,NA,CERTAIN GLYCOL ETHERS,332
60069ZLLWG405BA,HONEYWELL ANALYTICS INC,METHANOL,     67-56-1,67561,N,Y,N,405 BARCLAY BLVD,LINCOLNSHIRE,LAKE,IL,NA,METHANOL,334
60130DRCNC7400W,ESSENTRA SPECIALTY TAPES,METHYL ETHYL KETONE,     78-93-3,78933,N,N,Y,7400 W IND US TRIAL DR,FOREST PARK,COOK,IL,NA,METHYL ETHYL KETONE,326
62812STHRN45EIL,SOUTHERN ILLINOIS STORM SHELTERS,STYRENE,    100-42-5,100425,Y,Y,N,450 E ILLINOIS AVE,BENTON,FRANKLIN,IL,NA,STYRENE,326
60005MRTHN3231B,MPLX TERMINALS LLC - MT PROSPECT IL TERMINAL,BENZENE,     71-43-2,71432,Y,Y,Y,3231 BUSSE RD,ARLINGTON HEIGHTS,COOK,IL,NA,BENZENE,4247
62263GRWMR17815,LAND O'LAKES PURINA FEED LLC - NASHVILLE IL,COPPER COMPOUNDS,N100,N100,N,N,N,17815 MOCKINGBIRD RD,NASHVILLE,WASHINGTON,IL,NA,COPPER COMPOUNDS,311
62263NSCTNENTER,NASCOTE INDUSTRIES,DIISOCYANATES,N120,N120,N,Y,N,18310 ENTERPRISE AVE,NASHVILLE,WASHINGTON,IL,NA,DIISOCYANATES,336
60658CRMLS12840,ARKEMA COATING RESINS,METHYL METHACRYLATE,     80-62-6,80626,N,Y,N,12840 S PULASKI RD,ALSIP,COOK,IL,NA,METHYL METHACRYLATE,325
60085CHRRY3600S,CHERRY ELECTRICAL PRODUCTS,METHANOL,     67-56-1,67561,N,Y,N,3600 SUNSET AVE,WAUKEGAN,LAKE,IL,NA,METHANOL,334
61401RCHRD1021S,ADM GALESBURG,N-HEXANE,    110-54-3,110543,N,Y,N,1021 S HENDERSON ST,GALESBURG,KNOX,IL,NA,N-HEXANE,311
60480SHLND8500S,NEXEO SOLUTIONS LLC,N N-DIMETHYLFORMAMIDE,     68-12-2,68122,Y,Y,N,8500 S WILLOW SPRINGS RD,WILLOW SPRINGS,COOK,IL,NA,N N-DIMETHYLFORMAMIDE,4246
60067WBRST200ED,WEBER-STEPHEN PRODUCTS LLC PALATINE BUILDING 200,MANGANESE,   7439-96-5,7439965,N,Y,N,200 E DANIELS RD,PALATINE,COOK,IL,NA,MANGANESE,335
60064MCCHM2100C,EMCO CHEMICAL DISTRIBUTORS INC,DIETHANOLAMINE,    111-42-2,111422,N,Y,N,2100 COMMONWEALTH AVE,NORTH CHICAGO,LAKE,IL,NA,DIETHANOLAMINE,325
60118THHGR7MAID,HAEGER POTTERIES,COPPER COMPOUNDS,N100,N100,N,N,N,7 MAIDEN LN,DUNDEE,KANE,IL,NA,COPPER COMPOUNDS,327
62049GLZNCRR1XX,EAGLE ZINC CO,ZINC COMPOUNDS,N982,N982,N,N,N,218 INDL PARK DR,HILLSBORO,MONTGOMERY,IL,NA,ZINC COMPOUNDS,325
